sensor_id,timestamp,ideal_signal,raw_value
ENG_RPM_001,2026-03-26 19:58:30.810580,3000.0,2985.3380672239095
ENG_RPM_001,2026-03-26 19:58:30.820587,3015.7396489305215,3023.530049893449
ENG_RPM_001,2026-03-26 19:58:30.830593,3031.4789732802205,3038.3658898048834
ENG_RPM_001,2026-03-26 19:58:30.840600,3047.196235241648,3053.3767476890366
ENG_RPM_001,2026-03-26 19:58:30.850607,3062.8739241016956,3074.410152281325
ENG_RPM_001,2026-03-26 19:58:30.860613,3078.4954748088594,3063.9816590474356
ENG_RPM_001,2026-03-26 19:58:30.870620,3094.04477028066,3112.874446165033
ENG_RPM_001,2026-03-26 19:58:30.880627,3109.5059778775612,3114.8807660960847
ENG_RPM_001,2026-03-26 19:58:30.890633,3124.8634833410492,3111.6445982539444
ENG_RPM_001,2026-03-26 19:58:30.900640,3140.1018629144846,3140.7715175927974
ENG_RPM_001,2026-03-26 19:58:30.910647,3155.205873191612,3170.16129151755
ENG_RPM_001,2026-03-26 19:58:30.920653,3170.1604501699517,3167.1502805585255
ENG_RPM_001,2026-03-26 19:58:30.930660,3184.9507134713635,3196.868728441712
ENG_RPM_001,2026-03-26 19:58:30.940667,3199.561973626859,3195.0490063936813
ENG_RPM_001,2026-03-26 19:58:30.950673,3213.979741246484,3205.550294928631
ENG_RPM_001,2026-03-26 19:58:30.960680,3228.189737372238,3205.1441575770805
ENG_RPM_001,2026-03-26 19:58:30.970687,3242.1779045744597,3246.5977974853054
ENG_RPM_001,2026-03-26 19:58:30.980693,3255.930418504106,3258.5456070588925
ENG_RPM_001,2026-03-26 19:58:30.990700,3269.4336997053506,3266.4980902056036
ENG_RPM_001,2026-03-26 19:58:31.000707,3282.674425550665,3788.272228534496
ENG_RPM_001,2026-03-26 19:58:31.010713,3295.639542198017,3300.7539568958405
ENG_RPM_001,2026-03-26 19:58:31.020720,3308.316276494811,3314.426088710507
ENG_RPM_001,2026-03-26 19:58:31.030727,3320.69214777034,3312.770316828925
ENG_RPM_001,2026-03-26 19:58:31.040733,3332.7549794705087,3322.3910647361995
ENG_RPM_001,2026-03-26 19:58:31.050740,3344.492910597216,3336.563572850009
ENG_RPM_001,2026-03-26 19:58:31.060747,3355.894406921084,3362.64075867274
ENG_RPM_001,2026-03-26 19:58:31.070753,3366.9482719409366,3355.997365618884
ENG_RPM_001,2026-03-26 19:58:31.080760,3377.6436575670227,3380.979168011728
ENG_RPM_001,2026-03-26 19:58:31.090767,3387.970074507774,3388.65770614811
ENG_RPM_001,2026-03-26 19:58:31.100773,3397.917402342109,3390.0402346068754
ENG_RPM_001,2026-03-26 19:58:31.110780,3407.475899261092,3408.7753600754636
ENG_RPM_001,2026-03-26 19:58:31.120787,3416.636211464232,3432.13544984649
ENG_RPM_001,2026-03-26 19:58:31.130793,3425.389382196978,3429.989661226316
ENG_RPM_001,2026-03-26 19:58:31.140800,3433.7268604170263,3424.112816941626
ENG_RPM_001,2026-03-26 19:58:31.150807,3441.64050907801,3449.8976224080843
ENG_RPM_001,2026-03-26 19:58:31.160813,3449.122613019997,3471.6084131312696
ENG_RPM_001,2026-03-26 19:58:31.170820,3456.165886456963,3448.10713049309
ENG_RPM_001,2026-03-26 19:58:31.180827,3462.7634800521446,3447.569649823122
ENG_RPM_001,2026-03-26 19:58:31.190834,3468.9089875728187,3476.603443263399
ENG_RPM_001,2026-03-26 19:58:31.200840,3474.5964521166893,3497.0008480139363
ENG_RPM_001,2026-03-26 19:58:31.210847,3479.820371902664,3482.837355133989
ENG_RPM_001,2026-03-26 19:58:31.220854,3484.575705619371,3488.885321995146
ENG_RPM_001,2026-03-26 19:58:31.230860,3488.857877325335,3497.5410121628447
ENG_RPM_001,2026-03-26 19:58:31.240867,3492.662780895277,3499.6790627276755
ENG_RPM_001,2026-03-26 19:58:31.250874,3495.9867840075394,3519.1708792477143
